order_id,customer_name,shipper_name,consignee_name,notify_name,teu,product_name,function_category,destination_country,destination_port,order_date
DEMO-SO-0001,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,4.5,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0002,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,4.9,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0003,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,5.3,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0004,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,4.5,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0005,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,4.9,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0006,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,5.3,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0007,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,4.5,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0008,APEX OUTDOOR USA,DRAGON PEAK MANUFACTURING,NORTHSTAR DISTRIBUTION,APEX OUTDOOR EUROPE,4.9,Outdoor chair,outdoor furniture,US,Los Angeles,2026-01-05
DEMO-SO-0009,APEX OUTDOOR USA,SUNRISE PLASTICS NINGBO,MAPLE LEAF IMPORTS,APEX GLOBAL SOURCING HK,3.0,Storage box,household plastic,CA,Vancouver,2026-01-08
DEMO-SO-0010,APEX OUTDOOR USA,SUNRISE PLASTICS NINGBO,MAPLE LEAF IMPORTS,APEX GLOBAL SOURCING HK,3.4,Storage box,household plastic,CA,Vancouver,2026-01-08
DEMO-SO-0011,APEX OUTDOOR USA,SUNRISE PLASTICS NINGBO,MAPLE LEAF IMPORTS,APEX GLOBAL SOURCING HK,3.8,Storage box,household plastic,CA,Vancouver,2026-01-08
DEMO-SO-0012,APEX OUTDOOR USA,SUNRISE PLASTICS NINGBO,MAPLE LEAF IMPORTS,APEX GLOBAL SOURCING HK,3.0,Storage box,household plastic,CA,Vancouver,2026-01-08
DEMO-SO-0013,APEX OUTDOOR USA,SUNRISE PLASTICS NINGBO,MAPLE LEAF IMPORTS,APEX GLOBAL SOURCING HK,3.4,Storage box,household plastic,CA,Vancouver,2026-01-08
DEMO-SO-0014,APEX OUTDOOR USA,SUNRISE PLASTICS NINGBO,MAPLE LEAF IMPORTS,APEX GLOBAL SOURCING HK,3.8,Storage box,household plastic,CA,Vancouver,2026-01-08
DEMO-SO-0015,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,2.5,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0016,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,2.9,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0017,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,3.3,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0018,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,2.5,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0019,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,2.9,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0020,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,3.3,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0021,NOVA HOME STORES,RIVERSTONE METALWORKS,NOVA EUROPE BUYING,NOVA EUROPE BUYING,2.5,Kitchen rack,metal houseware,NL,Rotterdam,2026-01-10
DEMO-SO-0022,NOVA HOME STORES,CRESCENT FURNITURE WORKS,RHINE HOME IMPORTS,NOVA SOURCING SHANGHAI,5.0,Flat pack table,furniture,DE,Hamburg,2026-01-12
DEMO-SO-0023,NOVA HOME STORES,CRESCENT FURNITURE WORKS,RHINE HOME IMPORTS,NOVA SOURCING SHANGHAI,5.4,Flat pack table,furniture,DE,Hamburg,2026-01-12
DEMO-SO-0024,NOVA HOME STORES,CRESCENT FURNITURE WORKS,RHINE HOME IMPORTS,NOVA SOURCING SHANGHAI,5.8,Flat pack table,furniture,DE,Hamburg,2026-01-12
DEMO-SO-0025,NOVA HOME STORES,CRESCENT FURNITURE WORKS,RHINE HOME IMPORTS,NOVA SOURCING SHANGHAI,5.0,Flat pack table,furniture,DE,Hamburg,2026-01-12
DEMO-SO-0026,NOVA HOME STORES,CRESCENT FURNITURE WORKS,RHINE HOME IMPORTS,NOVA SOURCING SHANGHAI,5.4,Flat pack table,furniture,DE,Hamburg,2026-01-12
DEMO-SO-0027,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.0,LED controller,electronics,CA,Prince Rupert,2026-01-14
DEMO-SO-0028,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.4,LED controller,electronics,CA,Prince Rupert,2026-01-14
DEMO-SO-0029,ORBIT MARKETPLACE,GREENFIELD ELECTRONICS,ORBIT CANADA BUYING,ORBIT ASIA PROCUREMENT,2.8,LED controller,electronics,CA,Prince Rupert,2026-01-14
